ID,Timestamp,Hostname,IP_Address,Logged_USER,CPU_Model,CPU_Temperature,CPU_Core,CPU_Thread,CPU_ClockSpeed,CPU_Utilization_pct,RAM_Total_GB,RAM_Usage_pct,RAM_Used_GB,Disk_Name,Disk_Size_GB,Disk_Total_GB,Disk_Used_GB,Disk_Free_GB,Disk_Usage_pct,Monitor_Vendor,Monitor_Model,Mouse_Vendor,Mouse_Model,Keyboard_Vendor,Keyboard_Model
20,2025-11-01 04:45:00,host1,192.168.252.100,bob,AMD Ryzen 7 3700X,80,4,16,3.27,44.7,8,37.5,3,sda,1024,1024,389.5,634.5,38,LG,U2419H,Microsoft,DeathAdder,Corsair,Ergonomic
21,2025-11-01 05:00:00,host1,192.168.194.227,heidi,AMD Ryzen 5 3600,36.4,4,12,2.6,81.9,8,48.8,3.9,sdb,256,256,187.8,68.2,73.4,Dell,S24R650,Razer,MX Master 3,Logitech,K70
22,2025-11-01 05:15:00,host1,192.168.46.235,judy,Intel i7-10700,71,6,12,2.55,84.6,32,81.6,26.1,nvme0n1,512,512,215.3,296.7,42.1,Dell,S24R650,Microsoft,IntelliMouse,Corsair,K70
23,2025-11-01 05:30:00,host1,192.168.24.247,judy,Intel i7-10700,79.4,4,16,2.58,85.2,64,79.7,51,sdb,1024,1024,350.2,673.8,34.2,Samsung,27UK850,Razer,IntelliMouse,Microsoft,K70
24,2025-11-01 05:45:00,host1,192.168.171.124,frank,Intel i5-10400,80.9,6,8,2.37,58.3,8,98.8,7.9,sda,1024,1024,483.9,540.1,47.3,Samsung,U2419H,Logitech,MX Master 3,Microsoft,Ergonomic
25,2025-11-01 06:00:00,host1,192.168.195.192,ivan,Intel i7-10700,47.8,8,8,2.45,51.3,8,61.3,4.9,sda,512,512,249.4,262.6,48.7,LG,S24R650,Logitech,MX Master 3,Microsoft,K70
26,2025-11-01 06:15:00,host1,192.168.225.17,carol,AMD Ryzen 5 3600,69.1,6,12,3.48,90.8,64,82.8,53,nvme0n1,512,512,446,66,87.1,Samsung,27UK850,Microsoft,IntelliMouse,Logitech,Ergonomic
27,2025-11-01 06:30:00,host1,192.168.63.51,ivan,AMD Ryzen 7 3700X,65.5,8,12,3.44,89.3,16,20,3.2,nvme0n1,2048,2048,1160.6,887.4,56.7,Samsung,U2419H,Logitech,IntelliMouse,Corsair,Ergonomic
28,2025-11-01 06:45:00,host1,192.168.55.133,judy,Intel i7-10700,82.2,6,16,3.12,71.8,64,17.2,11,sdb,256,256,80.4,175.6,31.4,LG,27UK850,Razer,IntelliMouse,Corsair,Ergonomic
29,2025-11-01 07:00:00,host1,192.168.113.160,judy,AMD Ryzen 5 3600,35.7,8,8,3.39,70.1,64,15,9.6,sda,2048,2048,275.4,1772.6,13.4,Samsung,S24R650,Microsoft,DeathAdder,Corsair,Ergonomic
30,2025-11-01 07:15:00,host1,192.168.44.76,frank,AMD Ryzen 7 3700X,62.9,8,8,2.03,41.2,16,40,6.4,nvme0n1,1024,1024,889.1,134.9,86.8,Dell,U2419H,Microsoft,DeathAdder,Corsair,K70
31,2025-11-01 07:30:00,host1,192.168.60.52,dave,Intel i7-10700,40.2,4,8,3.32,33.5,64,46.9,30,nvme0n1,512,512,294.6,217.4,57.5,Samsung,27UK850,Logitech,MX Master 3,Logitech,K70
32,2025-11-01 07:45:00,host1,192.168.17.107,grace,Intel i7-10700,40.7,4,16,3.52,85.9,32,22.5,7.2,sda,256,256,179.4,76.6,70.1,LG,S24R650,Microsoft,DeathAdder,Corsair,Ergonomic
33,2025-11-01 08:00:00,host1,192.168.110.240,frank,Intel i7-10700,46.8,4,12,3.22,62.3,32,73.4,23.5,sda,1024,1024,851.6,172.4,83.2,Dell,S24R650,Microsoft,IntelliMouse,Corsair,K70
34,2025-11-01 08:15:00,host1,192.168.55.52,alice,Intel i5-10400,39.5,6,8,3.94,83.9,8,46.2,3.7,sda,2048,2048,1591.3,456.7,77.7,Dell,S24R650,Razer,IntelliMouse,Microsoft,K380
35,2025-11-01 08:30:00,host1,192.168.88.227,alice,AMD Ryzen 7 3700X,44.4,8,12,2.38,85.4,64,14.1,9,sdb,1024,1024,771.6,252.4,75.4,Dell,27UK850,Microsoft,MX Master 3,Microsoft,K70
36,2025-11-01 08:45:00,host1,192.168.38.174,dave,AMD Ryzen 7 3700X,71.1,8,12,2.2,84.6,64,12.3,7.9,sda,2048,2048,1583.2,464.8,77.3,Samsung,S24R650,Microsoft,IntelliMouse,Microsoft,K380
37,2025-11-01 09:00:00,host1,192.168.155.169,bob,AMD Ryzen 7 3700X,60.9,6,16,2.42,93.1,64,51.6,33,nvme0n1,256,256,172.4,83.6,67.3,Dell,S24R650,Razer,MX Master 3,Corsair,K70
38,2025-11-01 09:15:00,host1,192.168.6.221,bob,AMD Ryzen 7 3700X,49.3,6,12,3.42,20.8,32,84.7,27.1,sdb,2048,2048,1635.7,412.3,79.9,Samsung,S24R650,Razer,DeathAdder,Corsair,K380
39,2025-11-01 09:30:00,host1,192.168.56.212,ivan,AMD Ryzen 5 3600,59.8,8,16,2.26,43,8,77.5,6.2,sdb,256,256,14.5,241.5,5.7,LG,S24R650,Microsoft,DeathAdder,Corsair,K380
40,2025-11-01 09:45:00,host1,192.168.25.125,bob,AMD Ryzen 7 3700X,54,4,12,2.74,10.4,8,26.2,2.1,nvme0n1,1024,1024,174,850,17,Samsung,27UK850,Logitech,DeathAdder,Logitech,Ergonomic
41,2025-11-01 10:00:00,host1,192.168.143.234,frank,Intel i5-10400,73.3,4,12,2.87,76.7,64,29.2,18.7,sdb,1024,1024,823.3,200.7,80.4,Dell,S24R650,Razer,MX Master 3,Microsoft,K380
42,2025-11-01 10:15:00,host1,192.168.210.233,alice,Intel i7-10700,76.8,4,8,2.08,7.1,16,37.5,6,sda,1024,1024,108,916,10.5,Dell,U2419H,Logitech,IntelliMouse,Logitech,Ergonomic
43,2025-11-01 10:30:00,host1,192.168.33.4,grace,AMD Ryzen 5 3600,46,8,8,2.25,94,16,40.6,6.5,sdb,256,256,244.4,11.6,95.5,Dell,S24R650,Microsoft,IntelliMouse,Corsair,Ergonomic
44,2025-11-01 10:45:00,host1,192.168.82.27,heidi,AMD Ryzen 7 3700X,61.9,8,12,3.58,51.1,64,84.1,53.8,nvme0n1,256,256,132,124,51.6,Samsung,27UK850,Logitech,IntelliMouse,Microsoft,Ergonomic
45,2025-11-01 11:00:00,host1,192.168.171.179,heidi,Intel i5-10400,80.6,8,16,2.02,23.5,16,57.5,9.2,nvme0n1,512,512,206.7,305.3,40.4,Dell,S24R650,Microsoft,DeathAdder,Corsair,K380
46,2025-11-01 11:15:00,host1,192.168.4.30,bob,Intel i7-10700,34.3,4,8,2.12,58.9,32,16.9,5.4,sda,256,256,25.9,230.1,10.1,Samsung,U2419H,Microsoft,MX Master 3,Microsoft,Ergonomic
47,2025-11-01 11:30:00,host1,192.168.96.129,alice,Intel i5-10400,34.8,6,16,3.67,28.7,16,45.6,7.3,sda,2048,2048,257.5,1790.5,12.6,LG,27UK850,Razer,IntelliMouse,Logitech,K380
48,2025-11-01 11:45:00,host1,192.168.174.56,alice,AMD Ryzen 5 3600,47.7,4,16,3.54,27.3,64,44.1,28.2,sda,512,512,374.5,137.5,73.1,LG,27UK850,Razer,DeathAdder,Logitech,K380
49,2025-11-01 12:00:00,host1,192.168.198.154,frank,AMD Ryzen 5 3600,44.5,4,16,3.6,64.6,32,35,11.2,nvme0n1,2048,2048,1632.5,415.5,79.7,Dell,S24R650,Razer,MX Master 3,Microsoft,K380
50,2025-11-01 12:15:00,host1,192.168.99.90,ivan,AMD Ryzen 7 3700X,45.6,8,16,2.87,83,8,78.8,6.3,nvme0n1,1024,1024,748,276,73,LG,U2419H,Logitech,IntelliMouse,Logitech,K380
51,2025-11-01 12:30:00,host1,192.168.126.37,bob,Intel i7-10700,75.6,6,12,3.66,63.1,32,47.5,15.2,sdb,512,512,507.9,4.12,99.2,LG,U2419H,Microsoft,DeathAdder,Microsoft,K70
52,2025-11-01 12:45:00,host1,192.168.61.59,judy,AMD Ryzen 5 3600,51.9,8,16,3.34,80.9,32,71.6,22.9,nvme0n1,1024,1024,176,848,17.2,LG,S24R650,Razer,IntelliMouse,Corsair,Ergonomic
53,2025-11-01 13:00:00,host1,192.168.3.38,carol,AMD Ryzen 7 3700X,75.3,8,8,2.05,76.5,64,97.3,62.3,sdb,256,256,173,83,67.6,LG,U2419H,Logitech,MX Master 3,Microsoft,Ergonomic
54,2025-11-01 13:15:00,host1,192.168.101.9,dave,AMD Ryzen 7 3700X,74.5,4,8,2.81,18.1,64,38.4,24.6,sda,1024,1024,422.2,601.8,41.2,LG,U2419H,Microsoft,DeathAdder,Microsoft,Ergonomic
55,2025-11-01 13:30:00,host1,192.168.26.146,eve,Intel i5-10400,71.5,8,8,2.88,52.8,8,12.5,1,nvme0n1,256,256,205,51,80.1,LG,27UK850,Razer,MX Master 3,Microsoft,K70
56,2025-11-01 13:45:00,host1,192.168.19.70,alice,Intel i5-10400,65.9,8,12,3.73,58.7,32,64.7,20.7,sda,256,256,204.1,51.9,79.7,Samsung,U2419H,Logitech,DeathAdder,Logitech,K380
57,2025-11-01 14:00:00,host1,192.168.172.208,judy,AMD Ryzen 5 3600,58.9,4,12,2.09,33,64,84.7,54.2,sda,2048,2048,1242.6,805.4,60.7,LG,U2419H,Logitech,MX Master 3,Logitech,Ergonomic
58,2025-11-01 14:15:00,host1,192.168.208.138,ivan,Intel i5-10400,76.6,6,8,3.8,93.4,8,41.2,3.3,sda,512,512,253.5,258.5,49.5,LG,S24R650,Razer,DeathAdder,Corsair,K380
59,2025-11-01 14:30:00,host1,192.168.247.254,heidi,Intel i5-10400,69,8,12,3.29,36.2,64,93.1,59.6,nvme0n1,2048,2048,589.3,1458.7,28.8,Dell,S24R650,Razer,IntelliMouse,Corsair,K380
60,2025-11-01 14:45:00,host1,192.168.249.192,carol,Intel i5-10400,68,4,8,2.52,67.6,32,4.1,1.3,nvme0n1,2048,2048,19,2029,0.9,LG,U2419H,Microsoft,MX Master 3,Microsoft,K380
61,2025-11-01 15:00:00,host1,192.168.154.173,bob,AMD Ryzen 5 3600,68.9,8,12,3.59,35.1,32,32.8,10.5,sda,256,256,183.2,72.8,71.6,Samsung,U2419H,Microsoft,IntelliMouse,Logitech,K70
62,2025-11-01 15:15:00,host1,192.168.21.163,carol,Intel i7-10700,56,8,16,2.62,19.7,32,49.1,15.7,sda,512,512,378.5,133.5,73.9,Dell,27UK850,Microsoft,IntelliMouse,Logitech,Ergonomic
63,2025-11-01 15:30:00,host1,192.168.230.158,dave,AMD Ryzen 5 3600,41.8,8,12,3.94,55.7,32,50.9,16.3,nvme0n1,2048,2048,1065.7,982.3,52,LG,S24R650,Microsoft,IntelliMouse,Microsoft,K70
64,2025-11-01 15:45:00,host1,192.168.119.171,heidi,Intel i5-10400,41.4,4,16,2.8,54.1,32,36.6,11.7,nvme0n1,256,256,11.5,244.5,4.5,LG,27UK850,Microsoft,IntelliMouse,Corsair,K70
65,2025-11-01 16:00:00,host1,192.168.252.144,frank,Intel i5-10400,53.8,8,8,3.81,25.8,32,34.7,11.1,sdb,512,512,7.4,504.6,1.4,Samsung,S24R650,Logitech,IntelliMouse,Corsair,K380
66,2025-11-01 16:15:00,host1,192.168.220.98,dave,Intel i7-10700,52.2,8,16,3.87,43.9,16,77.5,12.4,sda,1024,1024,353,671,34.5,Dell,27UK850,Microsoft,IntelliMouse,Microsoft,K380
67,2025-11-01 16:30:00,host1,192.168.190.198,eve,Intel i7-10700,68.4,6,12,3.98,76.4,64,11.9,7.6,nvme0n1,512,512,466.6,45.4,91.1,LG,S24R650,Microsoft,DeathAdder,Logitech,Ergonomic
68,2025-11-01 16:45:00,host1,192.168.154.65,heidi,Intel i5-10400,34.9,8,8,3.07,48.6,32,84.7,27.1,sda,512,512,13.2,498.8,2.6,Dell,27UK850,Microsoft,IntelliMouse,Logitech,Ergonomic
69,2025-11-01 17:00:00,host1,192.168.5.154,alice,AMD Ryzen 5 3600,59.2,6,16,3.06,53.7,32,5.3,1.7,sdb,2048,2048,23.7,2024.3,1.2,LG,S24R650,Razer,MX Master 3,Microsoft,K70
70,2025-11-01 17:15:00,host1,192.168.71.137,carol,AMD Ryzen 7 3700X,45.7,4,8,2,32.1,8,15,1.2,nvme0n1,512,512,216.4,295.6,42.3,Dell,27UK850,Logitech,IntelliMouse,Microsoft,K70
71,2025-11-01 17:30:00,host1,192.168.30.253,carol,Intel i7-10700,42.9,4,16,2.7,85.4,64,71.2,45.6,sda,256,256,229.8,26.2,89.8,Samsung,S24R650,Microsoft,DeathAdder,Corsair,K70
72,2025-11-01 17:45:00,host1,192.168.30.108,judy,Intel i5-10400,42.6,6,8,3.22,64.2,16,97.5,15.6,sda,2048,2048,1673.3,374.7,81.7,LG,27UK850,Logitech,MX Master 3,Logitech,Ergonomic
73,2025-11-01 18:00:00,host1,192.168.107.26,eve,Intel i7-10700,30,6,12,3.31,72.9,32,14.4,4.6,sda,2048,2048,819.8,1228.2,40,LG,S24R650,Logitech,IntelliMouse,Microsoft,Ergonomic
74,2025-11-01 18:15:00,host1,192.168.176.252,frank,AMD Ryzen 7 3700X,74.1,6,8,2.91,13.9,8,63.7,5.1,sdb,2048,2048,234.3,1813.7,11.4,Samsung,27UK850,Microsoft,IntelliMouse,Corsair,Ergonomic
75,2025-11-01 18:30:00,host1,192.168.169.225,heidi,AMD Ryzen 7 3700X,40.9,4,16,3.29,94.5,16,15,2.4,sda,512,512,37.3,474.7,7.3,Dell,S24R650,Razer,DeathAdder,Microsoft,Ergonomic
76,2025-11-01 18:45:00,host1,192.168.69.64,judy,Intel i5-10400,33,8,8,3.37,85,8,77.5,6.2,nvme0n1,1024,1024,534.4,489.6,52.2,Samsung,U2419H,Logitech,DeathAdder,Microsoft,Ergonomic
77,2025-11-01 19:00:00,host1,192.168.4.218,frank,Intel i5-10400,53.5,6,8,3.2,51.1,64,5,3.2,sdb,1024,1024,135.9,888.1,13.3,LG,U2419H,Logitech,IntelliMouse,Microsoft,K380
78,2025-11-01 19:15:00,host1,192.168.126.137,eve,AMD Ryzen 5 3600,56.3,4,12,2.32,86.5,32,51.6,16.5,sda,1024,1024,957.1,66.9,93.5,Dell,U2419H,Razer,MX Master 3,Logitech,K70
79,2025-11-01 19:30:00,host1,192.168.234.97,dave,AMD Ryzen 7 3700X,82,8,12,3.79,94.8,32,31.2,10,sdb,1024,1024,100.1,923.9,9.8,Samsung,U2419H,Logitech,IntelliMouse,Microsoft,K380
80,2025-11-01 19:45:00,host1,192.168.129.112,judy,Intel i5-10400,68.8,4,12,3.47,74.2,32,83.1,26.6,nvme0n1,256,256,47.8,208.2,18.7,LG,U2419H,Logitech,IntelliMouse,Microsoft,Ergonomic
81,2025-11-01 20:00:00,host1,192.168.54.219,frank,AMD Ryzen 5 3600,56.1,4,16,2.92,35.4,8,31.2,2.5,nvme0n1,512,512,435.8,76.2,85.1,LG,S24R650,Logitech,DeathAdder,Microsoft,Ergonomic
82,2025-11-01 20:15:00,host1,192.168.192.63,bob,AMD Ryzen 5 3600,61.5,4,16,2.17,33.8,32,27.8,8.9,nvme0n1,2048,2048,1015,1033,49.6,LG,S24R650,Microsoft,MX Master 3,Microsoft,Ergonomic
83,2025-11-01 20:30:00,host1,192.168.218.87,grace,AMD Ryzen 7 3700X,54.1,6,8,3.93,32.5,32,50,16,sdb,1024,1024,32.8,991.2,3.2,Samsung,S24R650,Microsoft,MX Master 3,Microsoft,K70
84,2025-11-01 20:45:00,host1,192.168.34.89,frank,Intel i7-10700,63.9,6,12,2.75,44.2,8,37.5,3,sdb,1024,1024,487.2,536.8,47.6,Dell,27UK850,Microsoft,MX Master 3,Logitech,K380
85,2025-11-01 21:00:00,host1,192.168.175.97,eve,AMD Ryzen 7 3700X,30.4,4,12,2.15,24.6,32,56.2,18,sda,1024,1024,591.5,432.5,57.8,Samsung,S24R650,Logitech,IntelliMouse,Logitech,K70
86,2025-11-01 21:15:00,host1,192.168.141.128,bob,AMD Ryzen 5 3600,82.7,6,12,2.68,44.7,16,88.1,14.1,nvme0n1,256,256,29.4,226.6,11.5,Samsung,S24R650,Razer,IntelliMouse,Corsair,K380
87,2025-11-01 21:30:00,host1,192.168.124.191,ivan,AMD Ryzen 7 3700X,83.3,6,12,3.04,21.2,32,63.4,20.3,sdb,1024,1024,212.8,811.2,20.8,Samsung,S24R650,Microsoft,IntelliMouse,Corsair,Ergonomic
88,2025-11-01 21:45:00,host1,192.168.181.244,grace,Intel i5-10400,73,6,8,2.37,23.3,32,23.8,7.6,nvme0n1,512,512,199.4,312.6,38.9,Dell,27UK850,Logitech,IntelliMouse,Corsair,K70
89,2025-11-01 22:00:00,host1,192.168.83.131,alice,AMD Ryzen 7 3700X,76.7,6,16,3.31,81,64,15.8,10.1,sda,1024,1024,883,141,86.2,Dell,S24R650,Microsoft,DeathAdder,Logitech,K380
90,2025-11-01 22:15:00,host1,192.168.125.158,grace,AMD Ryzen 5 3600,62.6,6,8,2.77,9,32,90.3,28.9,nvme0n1,256,256,39.5,216.5,15.4,Samsung,U2419H,Razer,MX Master 3,Corsair,Ergonomic
91,2025-11-01 22:30:00,host1,192.168.151.248,frank,Intel i7-10700,62.6,4,16,2.2,90.7,64,24.8,15.9,nvme0n1,256,256,132.8,123.2,51.9,LG,27UK850,Logitech,DeathAdder,Corsair,Ergonomic
92,2025-11-01 22:45:00,host1,192.168.19.223,alice,AMD Ryzen 7 3700X,52.6,6,12,3.77,9.9,8,33.8,2.7,sda,512,512,498.3,13.7,97.3,Dell,S24R650,Logitech,IntelliMouse,Logitech,K380
93,2025-11-01 23:00:00,host1,192.168.16.246,frank,AMD Ryzen 5 3600,61.3,8,16,3.07,38,16,71.9,11.5,sda,1024,1024,812.5,211.5,79.3,Dell,U2419H,Logitech,DeathAdder,Logitech,Ergonomic
94,2025-11-01 23:15:00,host1,192.168.59.252,eve,Intel i7-10700,84,4,12,3.87,83,32,33.8,10.8,sda,512,512,131.4,380.6,25.7,LG,27UK850,Razer,MX Master 3,Logitech,K70
95,2025-11-01 23:30:00,host1,192.168.179.162,ivan,Intel i5-10400,66.1,8,8,3.12,5.1,64,55.9,35.8,nvme0n1,512,512,244.3,267.7,47.7,Samsung,S24R650,Razer,IntelliMouse,Logitech,K70
96,2025-11-01 23:45:00,host1,192.168.178.13,ivan,AMD Ryzen 7 3700X,82,8,8,3,55,64,3.8,2.4,sdb,256,256,189.8,66.2,74.1,Samsung,U2419H,Microsoft,MX Master 3,Microsoft,Ergonomic
97,2025-11-02 00:00:00,host1,192.168.147.28,eve,Intel i5-10400,64.7,4,12,3.76,69.2,16,40.6,6.5,sda,2048,2048,526.2,1521.8,25.7,LG,U2419H,Razer,IntelliMouse,Corsair,K380
98,2025-11-02 00:15:00,host1,192.168.109.51,heidi,Intel i7-10700,32.1,8,16,2.63,82.6,16,67.5,10.8,sdb,1024,1024,838,186,81.8,Dell,U2419H,Razer,MX Master 3,Corsair,K70
99,2025-11-02 00:30:00,host1,192.168.155.245,heidi,Intel i7-10700,64.3,6,8,3.21,50.7,8,88.8,7.1,nvme0n1,512,512,139.5,372.5,27.2,Dell,S24R650,Microsoft,MX Master 3,Logitech,Ergonomic
100,2025-11-02 00:45:00,host1,192.168.254.54,carol,Intel i5-10400,40.5,4,8,2.61,91.4,64,16.2,10.4,nvme0n1,512,512,456.1,55.9,89.1,Samsung,U2419H,Logitech,DeathAdder,Microsoft,Ergonomic
101,2025-11-02 01:00:00,host1,192.168.166.221,alice,Intel i7-10700,54.8,6,8,3.08,20.8,32,11.6,3.7,nvme0n1,1024,1024,153.3,870.7,15,LG,U2419H,Microsoft,MX Master 3,Corsair,K380
102,2025-11-02 01:15:00,host1,192.168.242.187,frank,AMD Ryzen 7 3700X,55.6,4,12,2.53,66.8,64,20.8,13.3,sda,2048,2048,1954.2,93.8,95.4,Dell,27UK850,Microsoft,MX Master 3,Corsair,K70
103,2025-11-02 01:30:00,host1,192.168.10.48,carol,AMD Ryzen 7 3700X,38,8,16,3.18,9.5,64,29.4,18.8,sdb,2048,2048,373.2,1674.8,18.2,LG,27UK850,Razer,DeathAdder,Logitech,K380
104,2025-11-02 01:45:00,host1,192.168.168.241,frank,AMD Ryzen 5 3600,38.4,8,8,2.62,11.1,16,10,1.6,nvme0n1,1024,1024,483.2,540.8,47.2,LG,S24R650,Logitech,DeathAdder,Logitech,K70
105,2025-11-02 02:00:00,host1,192.168.150.207,grace,Intel i7-10700,43.2,8,16,2.7,28.7,8,85,6.8,sda,512,512,400,112,78.1,LG,S24R650,Microsoft,DeathAdder,Corsair,K380
106,2025-11-02 02:15:00,host1,192.168.205.176,carol,AMD Ryzen 7 3700X,66.6,6,16,3.11,36.8,16,94.4,15.1,sda,2048,2048,1557,491,76,Samsung,U2419H,Razer,DeathAdder,Logitech,Ergonomic
107,2025-11-02 02:30:00,host1,192.168.0.222,carol,Intel i5-10400,66.3,8,12,2.26,13.1,16,53.8,8.6,sda,256,256,228.4,27.6,89.2,LG,U2419H,Logitech,IntelliMouse,Logitech,Ergonomic
108,2025-11-02 02:45:00,host1,192.168.253.116,dave,Intel i7-10700,51.7,4,16,2.77,24.8,16,88.8,14.2,sda,2048,2048,1531.6,516.4,74.8,Dell,27UK850,Razer,DeathAdder,Microsoft,Ergonomic
109,2025-11-02 03:00:00,host1,192.168.212.131,carol,AMD Ryzen 5 3600,57.2,6,8,2.56,16.7,16,85.6,13.7,sda,1024,1024,456.9,567.1,44.6,Samsung,U2419H,Razer,MX Master 3,Microsoft,Ergonomic
110,2025-11-02 03:15:00,host1,192.168.238.130,frank,Intel i5-10400,58.1,4,12,2.9,62.8,16,24.4,3.9,sdb,1024,1024,181.4,842.6,17.7,Dell,U2419H,Logitech,DeathAdder,Logitech,Ergonomic
111,2025-11-02 03:30:00,host1,192.168.28.15,grace,AMD Ryzen 5 3600,49.3,4,16,2.6,92.7,8,16.2,1.3,sdb,512,512,324.2,187.8,63.3,LG,U2419H,Logitech,DeathAdder,Logitech,K380
112,2025-11-02 03:45:00,host1,192.168.207.129,frank,Intel i7-10700,35.6,6,16,3.08,12,16,50.6,8.1,sdb,256,256,100.1,155.9,39.1,LG,27UK850,Microsoft,DeathAdder,Logitech,Ergonomic
113,2025-11-02 04:00:00,host1,192.168.160.50,grace,AMD Ryzen 5 3600,65.2,8,12,3.74,8.1,32,86.6,27.7,sdb,2048,2048,1671.7,376.3,81.6,Samsung,U2419H,Microsoft,MX Master 3,Logitech,K380
114,2025-11-02 04:15:00,host1,192.168.241.1,judy,Intel i7-10700,84.5,4,12,3.14,28.4,16,31.9,5.1,sda,512,512,83.9,428.1,16.4,Dell,27UK850,Microsoft,IntelliMouse,Logitech,Ergonomic
